tick_num,received_at,instrument,ts,ts_ist,ltp,bid,ask,volume,oi,iv_pct,theta,strike,expiry
17171,2026-03-13 15:43:14.321,NSE_INDEX|Nifty 50,1773381231938,2026-03-13 11:23:51,23333.95,23310.62,23357.28,17171,0.0,0.0,0.0,,None
17172,2026-03-13 15:43:14.322,NSE_INDEX|Nifty 50,1773381232443,2026-03-13 11:23:52,23334.5,23311.17,23357.83,17172,0.0,0.0,0.0,,None
17173,2026-03-13 15:43:14.322,NSE_INDEX|Nifty 50,1773381232950,2026-03-13 11:23:52,23333.05,23309.72,23356.38,17173,0.0,0.0,0.0,,None
17174,2026-03-13 15:43:14.322,NSE_INDEX|Nifty 50,1773381233444,2026-03-13 11:23:53,23333.65,23310.32,23356.98,17174,0.0,0.0,0.0,,None
17175,2026-03-13 15:43:14.323,NSE_INDEX|Nifty 50,1773381233945,2026-03-13 11:23:53,23333.85,23310.52,23357.18,17175,0.0,0.0,0.0,,None
17176,2026-03-13 15:43:14.323,NSE_INDEX|Nifty 50,1773381234438,2026-03-13 11:23:54,23335.05,23311.71,23358.39,17176,0.0,0.0,0.0,,None
17177,2026-03-13 15:43:14.324,NSE_INDEX|Nifty 50,1773381235453,2026-03-13 11:23:55,23332.7,23309.37,23356.03,17177,0.0,0.0,0.0,,None
17178,2026-03-13 15:43:14.324,NSE_INDEX|Nifty 50,1773381235954,2026-03-13 11:23:55,23332.05,23308.72,23355.38,17178,0.0,0.0,0.0,,None
17179,2026-03-13 15:43:14.324,NSE_INDEX|Nifty 50,1773381236446,2026-03-13 11:23:56,23331.4,23308.07,23354.73,17179,0.0,0.0,0.0,,None
17180,2026-03-13 15:43:14.325,NSE_INDEX|Nifty 50,1773381236944,2026-03-13 11:23:56,23333.25,23309.92,23356.58,17180,0.0,0.0,0.0,,None
17181,2026-03-13 15:43:14.325,NSE_INDEX|Nifty 50,1773381237443,2026-03-13 11:23:57,23333.1,23309.77,23356.43,17181,0.0,0.0,0.0,,None
17182,2026-03-13 15:43:14.326,NSE_INDEX|Nifty 50,1773381237952,2026-03-13 11:23:57,23333.0,23309.67,23356.33,17182,0.0,0.0,0.0,,None
17183,2026-03-13 15:43:14.326,NSE_INDEX|Nifty 50,1773381238440,2026-03-13 11:23:58,23333.95,23310.62,23357.28,17183,0.0,0.0,0.0,,None
17184,2026-03-13 15:43:14.327,NSE_INDEX|Nifty 50,1773381240946,2026-03-13 11:24:00,23332.95,23309.62,23356.28,17184,0.0,0.0,0.0,,None
17185,2026-03-13 15:43:14.327,NSE_INDEX|Nifty 50,1773381241443,2026-03-13 11:24:01,23332.65,23309.32,23355.98,17185,0.0,0.0,0.0,,None
17186,2026-03-13 15:43:14.328,NSE_INDEX|Nifty 50,1773381242444,2026-03-13 11:24:02,23333.95,23310.62,23357.28,17186,0.0,0.0,0.0,,None
17187,2026-03-13 15:43:14.328,NSE_INDEX|Nifty 50,1773381243443,2026-03-13 11:24:03,23333.4,23310.07,23356.73,17187,0.0,0.0,0.0,,None
17188,2026-03-13 15:43:14.329,NSE_INDEX|Nifty 50,1773381243942,2026-03-13 11:24:03,23333.35,23310.02,23356.68,17188,0.0,0.0,0.0,,None
17189,2026-03-13 15:43:14.329,NSE_INDEX|Nifty 50,1773381244443,2026-03-13 11:24:04,23333.25,23309.92,23356.58,17189,0.0,0.0,0.0,,None
17190,2026-03-13 15:43:14.329,NSE_INDEX|Nifty 50,1773381244944,2026-03-13 11:24:04,23332.65,23309.32,23355.98,17190,0.0,0.0,0.0,,None
17191,2026-03-13 15:43:14.330,NSE_INDEX|Nifty 50,1773381245444,2026-03-13 11:24:05,23332.45,23309.12,23355.78,17191,0.0,0.0,0.0,,None
17192,2026-03-13 15:43:14.330,NSE_INDEX|Nifty 50,1773381245944,2026-03-13 11:24:05,23331.2,23307.87,23354.53,17192,0.0,0.0,0.0,,None
17193,2026-03-13 15:43:14.331,NSE_INDEX|Nifty 50,1773381246442,2026-03-13 11:24:06,23331.8,23308.47,23355.13,17193,0.0,0.0,0.0,,None
17194,2026-03-13 15:43:14.331,NSE_INDEX|Nifty 50,1773381246955,2026-03-13 11:24:06,23331.2,23307.87,23354.53,17194,0.0,0.0,0.0,,None
17195,2026-03-13 15:43:14.332,NSE_INDEX|Nifty 50,1773381251446,2026-03-13 11:24:11,23331.8,23308.47,23355.13,17195,0.0,0.0,0.0,,None
17196,2026-03-13 15:43:14.332,NSE_INDEX|Nifty 50,1773381252487,2026-03-13 11:24:12,23332.0,23308.67,23355.33,17196,0.0,0.0,0.0,,None
17197,2026-03-13 15:43:14.333,NSE_INDEX|Nifty 50,1773381252941,2026-03-13 11:24:12,23331.6,23308.27,23354.93,17197,0.0,0.0,0.0,,None
17198,2026-03-13 15:43:14.333,NSE_INDEX|Nifty 50,1773381253444,2026-03-13 11:24:13,23331.7,23308.37,23355.03,17198,0.0,0.0,0.0,,None
17199,2026-03-13 15:43:14.333,NSE_INDEX|Nifty 50,1773381253947,2026-03-13 11:24:13,23331.65,23308.32,23354.98,17199,0.0,0.0,0.0,,None
17200,2026-03-13 15:43:14.334,NSE_INDEX|Nifty 50,1773381254445,2026-03-13 11:24:14,23332.0,23308.67,23355.33,17200,0.0,0.0,0.0,,None
17201,2026-03-13 15:43:14.334,NSE_INDEX|Nifty 50,1773381255461,2026-03-13 11:24:15,23332.2,23308.87,23355.53,17201,0.0,0.0,0.0,,None
17202,2026-03-13 15:43:14.336,NSE_INDEX|Nifty 50,1773381255944,2026-03-13 11:24:15,23332.45,23309.12,23355.78,17202,0.0,0.0,0.0,,None
17203,2026-03-13 15:43:14.336,NSE_INDEX|Nifty 50,1773381256443,2026-03-13 11:24:16,23331.2,23307.87,23354.53,17203,0.0,0.0,0.0,,None
17204,2026-03-13 15:43:14.337,NSE_INDEX|Nifty 50,1773381256950,2026-03-13 11:24:16,23332.95,23309.62,23356.28,17204,0.0,0.0,0.0,,None
